UKPRN,PrivateBeta,Provider Name,Provider Type,HEI subsidiary
10002852,N,HALESOWEN COLLEGE,Statutory FE Sector - General Further Education College,
10002899,N,HARLOW COLLEGE,Statutory FE Sector - General Further Education College,
10002917,N,HARTLEPOOL COLLEGE OF FURTHER EDUCATION,Statutory FE Sector - General Further Education College,
10005979,N,HAVANT AND SOUTH DOWNS COLLEGE,Statutory FE Sector - General Further Education College,
10007977,N,HEART OF WORCESTERSHIRE COLLEGE,Statutory FE Sector - General Further Education College,
10007289,N,HEART OF YORKSHIRE EDUCATION GROUP,Statutory FE Sector - General Further Education College,
10003022,N,HEREFORD COLLEGE OF ARTS,Statutory FE Sector - General Further Education College,
10003023,N,"HEREFORDSHIRE, LUDLOW, AND NORTH SHROPSHIRE COLLEGE",Statutory FE Sector - General Further Education College,
10003029,N,HEREWARD COLLEGE OF FURTHER EDUCATION,Statutory FE Sector - General Further Education College,
10003035,N,HERTFORD REGIONAL COLLEGE,Statutory FE Sector - General Further Education College,
10003146,N,HOPWOOD HALL COLLEGE,Statutory FE Sector - General Further Education College,
10007193,N,"HRUC (HARROW, RICHMOND AND UXBRIDGE COLLEGES).",Statutory FE Sector - General Further Education College,
10003193,N,HUGH BAIRD COLLEGE,Statutory FE Sector - General Further Education College,
10003200,N,HULL COLLEGE,Statutory FE Sector - General Further Education College,
10005077,N,INSPIRE EDUCATION GROUP,Statutory FE Sector - General Further Education College,
10003406,N,ISLE OF WIGHT COLLEGE,Statutory FE Sector - General Further Education College,
10003558,N,KENDAL COLLEGE,Statutory FE Sector - General Further Education College,
10003189,N,KIRKLEES COLLEGE,Statutory FE Sector - General Further Education College,
10003753,N,LAKES COLLEGE WEST CUMBRIA,Statutory FE Sector - General Further Education College,
10003768,N,LANCASTER AND MORECAMBE COLLEGE,Statutory FE Sector - General Further Education College,
10003855,N,LEEDS COLLEGE OF BUILDING,Statutory FE Sector - General Further Education College,
10003867,N,LEICESTER COLLEGE,Statutory FE Sector - General Further Education College,
10003928,N,LINCOLN COLLEGE,Statutory FE Sector - General Further Education College,
10000948,N,LONDON SOUTH EAST COLLEGES,Statutory FE Sector - General Further Education College,
10004112,Y,LOUGHBOROUGH COLLEGE,Statutory FE Sector - General Further Education College,
10023139,N,LTE GROUP,Statutory FE Sector - General Further Education College,
10024962,N,LUMINATE EDUCATION GROUP,Statutory FE Sector - General Further Education College,
10004144,N,MACCLESFIELD COLLEGE,Statutory FE Sector - General Further Education College,
10004344,N,MIDDLESBROUGH COLLEGE,Statutory FE Sector - General Further Education College,
10004340,N,MID-KENT COLLEGE,Statutory FE Sector - General Further Education College,
10004375,Y,MILTON KEYNES COLLEGE,Statutory FE Sector - General Further Education College,
10004442,N,MOULTON COLLEGE,Statutory FE Sector - General Further Education College,
10004478,Y,MYERSCOUGH COLLEGE,Statutory FE Sector - General Further Education College,
10004599,N,NCG,Statutory FE Sector - General Further Education College,
10006963,N,NEW CITY COLLEGE,Statutory FE Sector - General Further Education College,
10004576,N,NEW COLLEGE DURHAM,Statutory FE Sector - General Further Education College,
10004579,N,NEW COLLEGE SWINDON,Statutory FE Sector - General Further Education College,
10004596,N,NEWBURY COLLEGE,Statutory FE Sector - General Further Education College,
10004603,N,NEWCASTLE AND STAFFORD COLLEGES GROUP,Statutory FE Sector - General Further Education College,
10004607,N,NEWHAM COLLEGE OF FURTHER EDUCATION,Statutory FE Sector - General Further Education College,
10004686,N,NORTH EAST SURREY COLLEGE OF TECHNOLOGY (NESCOT),Statutory FE Sector - General Further Education College,
10004690,N,NORTH HERTFORDSHIRE COLLEGE,Statutory FE Sector - General Further Education College,
10004721,N,NORTH KENT COLLEGE,Statutory FE Sector - General Further Education College,
10004718,Y,NORTH WARWICKSHIRE AND SOUTH LEICESTERSHIRE COLLEGE,Statutory FE Sector - General Further Education College,
10007011,N,NORTHAMPTON COLLEGE,Statutory FE Sector - General Further Education College,
10004577,N,NOTTINGHAM COLLEGE,Statutory FE Sector - General Further Education College,
10004835,N,OAKLANDS COLLEGE,Statutory FE Sector - General Further Education College,
10005124,Y,PLUMPTON COLLEGE,Statutory FE Sector - General Further Education College,
10005200,N,PRESTON COLLEGE,Statutory FE Sector - General Further Education College,
10005404,N,REASEHEATH COLLEGE,Statutory FE Sector - General Further Education College,
10002863,N,RIVERSIDE COLLEGE,Statutory FE Sector - General Further Education College,
10005534,N,RNN GROUP,Statutory FE Sector - General Further Education College,
10005575,N,RUNSHAW COLLEGE,Statutory FE Sector - General Further Education College,
10005032,N,SALFORD CITY COLLEGE,Statutory FE Sector - General Further Education College,
10005669,N,SANDWELL COLLEGE,Statutory FE Sector - General Further Education College,
10005788,Y,"SHEFFIELD COLLEGE, THE",Statutory FE Sector - General Further Education College,
10005810,N,SHIPLEY COLLEGE,Statutory FE Sector - General Further Education College,
10005946,N,SOLIHULL COLLEGE AND UNIVERSITY CENTRE,Statutory FE Sector - General Further Education College,
10005967,N,SOUTH & CITY COLLEGE BIRMINGHAM,Statutory FE Sector - General Further Education College,
10005977,N,SOUTH DEVON COLLEGE,Statutory FE Sector - General Further Education College,
10005981,N,SOUTH ESSEX COLLEGE OF FURTHER AND HIGHER EDUCATION,Statutory FE Sector - General Further Education College,
10036143,N,SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE,Statutory FE Sector - General Further Education College,
10007928,Y,SOUTH HAMPSHIRE COLLEGE GROUP,Statutory FE Sector - General Further Education College,
10023526,N,SOUTH STAFFORDSHIRE COLLEGE,Statutory FE Sector - General Further Education College,
10003674,N,SOUTH THAMES COLLEGES GROUP,Statutory FE Sector - General Further Education College,
10006038,N,SOUTHPORT EDUCATION GROUP,Statutory FE Sector - General Further Education College,
10006050,N,SPARSHOLT COLLEGE,Statutory FE Sector - General Further Education College,
10006174,N,ST HELENS COLLEGE,Statutory FE Sector - General Further Education College,
10009439,N,STANMORE COLLEGE,Statutory FE Sector - General Further Education College,
10006349,N,STOKE ON TRENT COLLEGE,Statutory FE Sector - General Further Education College,
10006398,N,SUFFOLK NEW COLLEGE,Statutory FE Sector - General Further Education College,
10006494,N,TAMESIDE COLLEGE,Statutory FE Sector - General Further Education College,
10007938,N,TEC PARTNERSHIP,Statutory FE Sector - General Further Education College,
10006549,N,TELFORD COLLEGE,Statutory FE Sector - General Further Education College,
10003955,N,THE CITY OF LIVERPOOL COLLEGE,Statutory FE Sector - General Further Education College,
10007916,N,THE COLLEGE OF WEST ANGLIA,Statutory FE Sector - General Further Education College,
10006341,N,THE EDUCATION TRAINING COLLECTIVE,Statutory FE Sector - General Further Education College,
10001503,N,THE NORTHERN SCHOOL OF ART,Statutory FE Sector - General Further Education College,
10006770,N,THE OLDHAM COLLEGE,Statutory FE Sector - General Further Education College,
10005998,Y,THE TRAFFORD AND STOCKPORT COLLEGE GROUP,Statutory FE Sector - General Further Education College,
10002107,N,THE WINDSOR FOREST COLLEGES GROUP,Statutory FE Sector - General Further Education College,
10007063,N,TRURO AND PENWITH COLLEGE,Statutory FE Sector - General Further Education College,
10005999,N,TYNE COAST COLLEGE,Statutory FE Sector - General Further Education College,
10005736,N,UNIFIED SEEVIC PALMER'S COLLEGE,Statutory FE Sector - General Further Education College,
10001476,N,UNITED COLLEGES GROUP,Statutory FE Sector - General Further Education College,
10000878,N,UNIVERSITY CENTRE SOMERSET COLLEGE GROUP,Statutory FE Sector - General Further Education College,
10007315,N,WALSALL COLLEGE,Statutory FE Sector - General Further Education College,
10007321,N,WALTHAM FOREST COLLEGE,Statutory FE Sector - General Further Education College,
10007339,N,WARRINGTON & VALE ROYAL COLLEGE,Statutory FE Sector - General Further Education College,
10007859,N,WARWICKSHIRE COLLEGE,Statutory FE Sector - General Further Education College,
10007417,Y,WEST HERTS COLLEGE,Statutory FE Sector - General Further Education College,
10007427,N,WEST NOTTINGHAMSHIRE COLLEGE,Statutory FE Sector - General Further Education College,
10007431,N,WEST SUFFOLK COLLEGE,Statutory FE Sector - General Further Education College,
10007434,N,WEST THAMES COLLEGE,Statutory FE Sector - General Further Education College,
10007459,N,WESTON COLLEGE OF FURTHER AND HIGHER EDUCATION,Statutory FE Sector - General Further Education College,
10007469,N,WEYMOUTH AND KINGSTON MAURWARD COLLEGE,Statutory FE Sector - General Further Education College,
10007500,N,WIGAN AND LEIGH COLLEGE,Statutory FE Sector - General Further Education College,
10007527,N,WILTSHIRE COLLEGE AND UNIVERSITY CENTRE,Statutory FE Sector - General Further Education College,
10007553,N,WIRRAL METROPOLITAN COLLEGE,Statutory FE Sector - General Further Education College,
10007696,N,YEOVIL COLLEGE,Statutory FE Sector - General Further Education College,
10007709,N,YORK COLLEGE,Statutory FE Sector - General Further Education College,
10000330,N,AQUINAS COLLEGE,Statutory FE Sector - Sixth Form College,
10000552,N,BARTON PEVERIL SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10000670,N,BEXHILL COLLEGE,Statutory FE Sector - Sixth Form College,
10000796,N,BOLTON SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10000887,N,BRIGHTON HOVE AND SUSSEX SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10001165,N,CARDINAL NEWMAN COLLEGE,Statutory FE Sector - Sixth Form College,
